IndefiniteArticle,Noun,NounType
an,account,concept
an,achiever,concept
,acoustics,concept
an,act,concept
an,action,concept
an,activity,concept
an,actor,object
an,addition,concept
an,adjustment,concept
an,advertisement,concept
,advice,concept
an,aftermath,concept
an,afternoon,scene
an,afterthought,concept
an,agreement,concept
an,airplane,object
an,airport,scene
,alarm,concept
an,amount,concept
,amusement,concept
an,angel,object
,anger,concept
an,animal,object
an,answer,concept
an,ant,object
an,apparatus,object
,apparel,object
an,apple,object
,appliance,object
an,approval,concept
an,arch,object
an,argument,concept
,arithmetic,concept
an,arm,object
an,army,scene
,art,object
an,attack,scene
an,attempt,concept
,attention,concept
,attraction,concept
,authority,concept
,autumn,concept
a,baby,object
a,back,object
a,badge,object
a,bag,object
,bait,object
,balance,concept
a,ball,object
a,balloon,object
a,banana,object
a,band,object
a,base,scene
a,basin,object
a,basket,object
a,bat,object
a,bath,object
a,battle,scene
a,bead,object
a,beam,object
a,bean,object
a,bear,object
a,beast,object
a,bed,object
a,bedroom,object
a,bee,object
a,beetle,object
a,beggar,object
a,beginner,concept
a,behavior,concept
a,belief,concept
a,bell,object
a,berry,object
a,bike,object
a,bird,object
a,birthday,scene
a,bite,scene
a,blade,object
a,blimp/airship,scene
,blood,object
a,blow,scene
a,board,object
a,boat,object
a,body,object
a,bomb,object
a,bone,object
a,book,object
a,boot,object
a,bottle,object
a,boundary,concept
a,box,object
a,brain,object
a,branch,object
,bread,object
a,break,object
,breakfast,scene
,breath,object
a,brick,object
a,bridge,object
a,brush,object
a,bubble,object
a,bucket,object
a,building,object
a,bulb,object
a,bun,object
a,bush,object
a,business,object
,butter,object
a,button,object
a,cabbage,object
a,cable,object
a,cactus,object
a,cake,object
a,calculator,object
a,calendar,object
a,camera,object
a,camp,object
a,can,object
a,cannon,object
a,cap,object
a,car,object
a,card,object
,care,concept
a,carpenter,concept
a,carriage,object
a,cart,object
a,cast,object
a,castle,scene
a,cat,object
a,cause,concept
a,cave,scene
,celery,object
a,cellar,scene
a,cemetery,scene
a,chain,object
a,chair,object
,chalk,object
a,chance,concept
a,change,concept
a,channel,concept
,cheese,object
a,cherry,object
,chess,scene
a,chest,object
a,chicken,object
a,child,object
a,church,scene
a,clam,object
a,class,scene
a,cleaner,object
a,clock,object
a,cloth,object
a,cloud,object
a,club,scene
a,coach,concept
,coal,object
a,coast,scene
a,coat,object
a,cobweb,object
a,coil,object
a,comb,object
,comfort,concept
a,committee,scene
a,comparison,scene
a,competition,scene
a,condition,concept
a,connection,concept
,control,concept
a,cook,object
a,copy,object
a,cord,object
a,cork,object
,corn,object
a,cough,scene
a,country,scene
a,cover,object
a,cow,object
a,crack,a
a,cracker,a
a,crate,a
a,crayon,a
,cream,a
a,creator,concept
a,creature,object
a,credit,concept
a,crib,object
a,crime,scene
a,crook,object
a,crow,object
a,crowd,scene
a,crown,object
a,crystal,object
a,cub,object
a,cup,object
a,curtain,object
a,curve,concept
a,cushion,object
a,day,scene
,death,concept
,debt,concept
a,decision,scene
a,deer,object
a,degree,concept
,desire,concept
a,desk,object
,destruction,concept
,development,concept
,dinner,scene
a,dinosaur,object
,direction,concept
,dirt,object
,discovery,concept
,discussion,concept
,disease,concept
,disgust,concept
,distance,concept
,distribution,concept
,division,concept
a,dock,scene
a,doctor,object
a,dog,object
a,doll,object
a,donkey,object
a,door,object
a,drain,object
a,drawer,object
a,dress,object
a,drink,object
a,drop,concept
a,drug,object
a,drum,object
a,duck,object
a,dungeon,scene
,dust,object
an,ear,object
an,earth,scene
an,earthquake,scene
